name,sku_code,studio_price,main_image,ANGLE IMAGE,publish,is_best_seller,is_featured_product,small_desc,long_desc,highlights,services,specifications,brand_color,size,category,sub_category,ideal_for,brand,type,inventory,sleeve,neck_front,neck_back,opening,fit,style,weave_type,pattern,embellished,embroidered,occasion,age_group,seller,designer,warranty,fabric/material,fabric_care/care,ean_upc,vat,measuring_unit,dimension_unit,package_length,package_width,package_height,package_weight,pack_of,sales_package,meta_desc,meta_keywords,disclaimer,is_rent,is_sell,rent_price,categories_id,bust_size,hips_size,waist_size
Embellished dark grey crop top and skirt.,YNW005,10500,YNW005 (2).JPG,YNW005 (2).JPG,1,,,,"•This graceful grey and aqua blue indo western ensemble is finely crafted. It comes with a organza  skirt  with an embellished waist belt  and deep V neck, silk hand embroidered blouse.
•Back zip.
•Long Sleeves.
",,,,Dark Grey and Sky Blue,,Apparels,Indo Western,,,,1,,,,,,,,,,,,,,,,,"All our outfits are sanitized and dry cleaned by us prior to delivery. If you must, please get it professional steam ironed only.",,,,,,,,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings.,1,,,36,46,50,40
The draped 50 shades of grey.,YNW009,10250,YNW009 (2).JPG,YNW009 (2).JPG,1,,,,"•Drape it like it's hot! Cause why not? This versatile indo western outfit comes with a draped grey full sleeved blouse with a floral brocade layered skirt with an attached embroidered dupatta. It can be worn for a sangeet, a cocktail, wedding day, or even to bring some fun  to your best friend's mehendi.
•Side zip.
•Full Sleeves.",,,,Grey,,Apparels,Indo Western,,,,1,,,,,,,,,,,,,,,,,"All our outfits are sanitized and dry cleaned by us prior to delivery. If you must, please get it professional steam ironed only.",,,,,,,,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings.,1,,,36,46,48,32
Yellow shirt with silk skirt.,YNW010,7750,YNW010 (2).JPG,YNW010 (2).JPG,1,,,,"•High on drama and ravishing in its choice of colour, this yellow embellished shirt style crop top  comes with a high-waisted shadow silk peacock green blue skirt. The top is made of georgette and comes with a spaghetti silk inner.
•Front buttons for the shirt and side zip for the inner.
",,,,Yellow and Green,,Apparels,Indo Western,,,,1,,,,,,,,,,,,,,,,,"All our outfits are sanitized and dry cleaned by us prior to delivery. If you must, please get it professional steam ironed only.",,,,,,,,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings.,1,,,36,40,50,36
Dove grey crop top skirt.,YNW014,8250,YNW014 (1).JPG,YNW014 (1).JPG,1,,,,"•Drape it like it's hot! Cause why not? This versatile indo western outfit comes with a dove grey sleeveless embellished blouse with a silk skirt with an attached georgette dupatta. It can be worn for a sangeet, a cocktail, wedding day, or even to bring some fun  to your best friend's mehendi.
•Side zip.
•Sleeveless.",,,,Dove Grey,,Apparels,Indo Western,,,,1,,,,,,,,,,,,,,,,,"All our outfits are sanitized and dry cleaned by us prior to delivery. If you must, please get it professional steam ironed only.",,,,,,,,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings.,1,,,36,44,50,36
The peach indo western,YNW015,8500,YNW015  (1).JPG,YNW015  (1).JPG,1,,,,"•Look mesmerizing in this peach indo western embellished georgette ensemble. It comes with an embellished waist belt skirt , cold shoulder long jacket and embellished sleeveless blouse that adds the glam factor to this attire.
•Side zip.
•Sleeveless blouse and 3/4th length sleeves jacket.",,,,Peach Pink,,Apparels,Indo Western,,,,1,,,,,,,,,,,,,,,,,"All our outfits are sanitized and dry cleaned by us prior to delivery. If you must, please get it professional steam ironed only.",,,,,,,,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings.,1,,,36,46,46,38
Mehendi green indowestern,YNW016,8500,YNW016 (2).JPG,"YNW016 (2).JPG, YNW016 (3).JPG",1,,,,"•The mehendi green crop top, cape  and draped pants bring a twist to the way women dress. There is a stylish drape to the pants and you can also wear a shoulder cape just to make it stylish. Traditional with a twist. The zardozi embroidery on the cape and crop top adds the glam factor to this attire.
•Side zip.
•Sleeveless blouse and cold shoulder cape.",,,,Mehendi Green,,Apparels,Indo Western,,,,1,,,,,,,,,,,,,,,,,"All our outfits are sanitized and dry cleaned by us prior to delivery. If you must, please get it professional steam ironed only.",,,,,,,,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings.,1,,,36,42,40,39
The power packed salmon and brown indo western,YNW017,8250,YNW017-8250 (3).JPG,YNW017-8250 (3).JPG,1,,,,"•Fashion reaches another level when ankle length palazzo pants are paired with embellished jacket and crop top. The salmon and brown with the antique gold work makes it a package of elegance and power. The crop top and palazzo pant are made of art silk and the jacket is made of chiffon.
•Side zip.
•Sleeveless blouse and full length bell sleeves jacket.",,,,Salmon and Brown,,Apparels,Indo Western,,,,1,,,,,,,,,,,,,,,,,"All our outfits are sanitized and dry cleaned by us prior to delivery. If you must, please get it professional steam ironed only.",,,,,,,,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings.,1,,,36,46,48,40
Blue and grey elephant indo western,YNW024,6750,YNW024  (2).JPG,YNW024  (2).JPG,1,,,,"•Look mesmerizing in this indo western embellished georgette and art silk ensemble. It comes with a art silk navy blue skirt, grey georgette  long jacket and embellished sleeveless blouse with elephant motif that adds the glam factor to this attire.
•Side zip.
•Sleeveless blouse and elbow length sleeves jacket.",,,,Blue and Grey,,Apparels,Indo Western,,,,1,,,,,,,,,,,,,,,,,"All our outfits are sanitized and dry cleaned by us prior to delivery. If you must, please get it professional steam ironed only.",,,,,,,,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings.,1,,,36,44,46,34
Wine layered gown,YNW006,6800,YNW006 (2).JPG,YNW006 (2).JPG,1,,,,"•This contemporary wine coloured gown is finely crafted with  art silk and features bodice adorned with delicate floral embroidery and floor length voluminous flared silhouette with multiple asymmetric layer addition.
•Back zip.
•Elbow length sleeves.",,,,Wine ,,Apparels,Indo Western,,,,1,,,,,,,,,,,,,,,,,"All our outfits are sanitized and dry cleaned by us prior to delivery. If you must, please get it professional steam ironed only.",,,,,,,,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings.,1,,,36,45,45,
Fossil grey embellished gown.,YNW008,6000,YNW088-6000 (2).JPG,YNW088-6000 (2).JPG,1,,,,"•This voguish fossil grey gown is finely crafted with georgette and features the cape style bodice, round neckline and floor length free-flowing flared silhouette and cold shoulder. The ensemble is enhanced with delicate resham thread embroidery in floral design motif at minimal placement.
•Side zip.",,,,Fossil Grey,,Apparels,Indo Western,,,,1,,,,,,,,,,,,,,,,,"All our outfits are sanitized and dry cleaned by us prior to delivery. If you must, please get it professional steam ironed only.",,,,,,,,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings.,1,,,36,39,43,
